,NUMERO,NOM_VOIE,CODE_POSTAL,NOM_COMMUNE,id
0,10,Lotissement Domaine des Charmilles,01390,Mionnay,0
1,336,Rue du Pittion,01640,Jujurieux,1
2,81,Rue Saint Martin,01300,Belley,2
3,42,Quai Jean Baptiste Bouchacourt,01750,Saint-Laurent-sur-SaÃ´ne,3
4,2,Chemin des Careys,01800,Saint-Maurice-de-Gourdans,4
5,503,Avenue JosÃ©phine Guillon,01700,Miribel,5
6,248,Rue de la Chapelle,01430,Ceignes,6
7,266,Route de Saint-martin,01340,Attignat,7
8,29,Impasse des Dentines,01390,Tramoyes,8
9,21,Impasse de la CÃ´te,01640,Boyeux-Saint-JÃ©rÃ´me,9
10,20,Lot le Clos de la Rodette,01300,Belley,10
11,295,Rue de la Gare,01150,Lagnieu,11
12,994,Route de Chatillon,01990,Baneins,12
13,17,Pre Neuf,01190,Pont-de-Vaux,13
14,760,Route du Pied de la Cote,01160,Saint-Martin-du-Mont,14
15,48,Impasse Champ Cortet,01190,Gorrevod,15
16,12,Place General Joubert,01190,Pont-de-Vaux,16
17,163,Impasse de la PÃ©piniÃ¨re,01290,GriÃ¨ges,17
18,173,Chemin du Peillon,01170,Crozet,18
19,42,Chemin de la Geliere,01440,Viriat,19
20,278,Grande Rue,01510,Cheignieu-la-Balme,20
21,66,Lotissement le Murat,01510,Virieu-le-Grand,21
22,36,Lot les Jardins de la Verchere,01100,Oyonnax,22
23,106,Rue de la Poudriere,01170,Gex,23
24,322,Route de Sainte Euphemie,01600,Toussieux,24
25,10,Rue du Montillet,01300,Belley,25
26,96,Rue de la Fromagerie,01200,ValserhÃ´ne,26
27,129,Rue de la Roseraie,01350,Culoz,27
28,14,Rue de la Vigerie,01200,ValserhÃ´ne,28
29,1352,Route de Corbeil,01560,Saint-Jean-sur-Reyssouze,29
30,3,Rue du CrÃªt de la Neige,01550,Collonges,30
31,4,Lotissement dâ€™Aigrefeuille,01120,Dagneux,31
32,14,Rue Anatole France,01100,Oyonnax,32
33,19,Rue de Champ Bouvier,01480,Jassans-Riottier,33
34,163,Route de Saint Trivier,01560,Vescours,34
35,143,Rue du Four,01260,ArviÃ¨re-en-Valromey,35
36,55,Rue de la Sancerre,01550,Collonges,36
37,2960,Grande Rue,01190,Reyssouze,37
38,94,Rue des Thuyas,01390,Saint-AndrÃ©-de-Corcy,38
39,137,Chemin du Peleu,01090,Montceaux,39
40,369,Rue Marcel Duchamp,01300,Belley,40
41,505,Route des MÃ»res,01330,Sainte-Olive,41
42,334,Rue de la Craz,01350,Culoz,42
43,3,Impasse du Viaduc,01130,Les Neyrolles,43
44,4,Lotissement sous le Colombier,01150,Lagnieu,44
45,136,Rue du Tiocan,01630,Saint-Genis-Pouilly,45
46,26,Fay,01150,Souclin,46
47,51,Rue de Marcheroux,01450,Cerdon,47
48,63,Chemin de la Tour,01300,Arboys en Bugey,48
49,38,Chemin du Torne,01300,Parves et Nattages,49
50,1,Lotissement le Pierrot,01390,Monthieux,50
51,370,Chemin de Bezaton,01310,Polliat,51
52,88,Chemin de Halage,01700,Beynost,52
53,65,Rue du Jet d'Eau,01290,Cormoranche-sur-SaÃ´ne,53
54,8,Rue Gabriel Brun,01500,ChÃ¢teau-Gaillard,54
55,6,Rue de Montessuy,01990,Chaneins,55
56,22,Impasse du Verger,01500,Ambronay,56
57,6,rue des granges bardes,01000,Bourg-en-Bresse,57
58,904,Route de Mellon,01300,Belley,58
59,11,Rue du Mont,01710,Thoiry,59
60,6,rue teyniere,01000,Bourg-en-Bresse,60
61,1150,Route des FruitiÃ¨res,01260,ArviÃ¨re-en-Valromey,61
62,465,Route du Cruchon,01110,Champdor-Corcelles,62
63,9,Rue Lavoisier,01100,Oyonnax,63
64,203,Route de la Foret Tanet,01400,Saint-Georges-sur-Renon,64
65,142,Lotissement les Peupliers,01170,Cessy,65
66,1290,Chemin de Champremont,01400,ChÃ¢tillon-sur-Chalaronne,66
67,81,Rue de lâ€™Eglise,01470,BÃ©nonces,67
68,69,AllÃ©e Maryse Bastie,01200,ValserhÃ´ne,68
69,700,Grande Route,01420,Corbonod,69
70,87,Chemin de Chantegrillet,01480,Ars-sur-Formans,70
71,226,Impasse des Peupliers,01700,Beynost,71
72,16,Rue Jean JaurÃ¨s,01250,CeyzÃ©riat,72
73,115,Che des Farges,01800,Villieu-Loyes-Mollon,73
74,71,Impasse de la Cure,01300,Contrevoz,74
75,5,Allee de Faverge,01310,Buellas,75
76,274,Route de la Petite Salle,01310,Montracol,76
77,1469,Bois de Lhu,01340,Saint-Didier-d'Aussiat,77
78,24,Rue de la Plantaz,01470,SerriÃ¨res-de-Briord,78
79,165,Rue des Aulnes,01170,Gex,79
80,113,Rue de Cuny,01470,BÃ©nonces,80
81,488,Route des Carriers,01250,Hautecourt-RomanÃ¨che,81
